experiment_id,feature,k1,k2,dropout1,dropout2,batch_size,lr,test_acc,precision,recall,f1_score,final_train_loss,min_train_loss,training_time_sec,num_params,confusion_matrix_path,classification_report_path,learning_curve_path
1,MFCC,32,64,0.2,0.3,16,0.01,68.36340206185567,0.6419521654815772,0.5021053842613897,0.41186667376719077,0.5927656674126622,0.5886868033305739,24.78691267967224,18946,Results/Tuning\cm_exp_1.csv,Results/Tuning\report_exp_1.csv,Results/Tuning\learning_curve_exp_1.csv
2,MFCC,32,64,0.2,0.3,16,0.001,70.42525773195877,0.7016780532613778,0.5471506366007056,0.5101222342565372,0.5507759289124471,0.5507759289124471,24.28537607192993,18946,Results/Tuning\cm_exp_2.csv,Results/Tuning\report_exp_2.csv,Results/Tuning\learning_curve_exp_2.csv
3,MFCC,32,64,0.2,0.3,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6073997133792577,0.6073997133792577,24.151063680648804,18946,Results/Tuning\cm_exp_3.csv,Results/Tuning\report_exp_3.csv,Results/Tuning\learning_curve_exp_3.csv
4,MFCC,32,64,0.2,0.3,32,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.591381120520669,0.591381120520669,16.550482511520386,18946,Results/Tuning\cm_exp_4.csv,Results/Tuning\report_exp_4.csv,Results/Tuning\learning_curve_exp_4.csv
5,MFCC,32,64,0.2,0.3,32,0.001,69.78092783505154,0.715650331989083,0.5304532903819604,0.4750490955103301,0.5672097343045313,0.5672097343045313,17.273418188095093,18946,Results/Tuning\cm_exp_5.csv,Results/Tuning\report_exp_5.csv,Results/Tuning\learning_curve_exp_5.csv
6,MFCC,32,64,0.2,0.3,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6124237063768748,0.6124237063768748,17.144274473190308,18946,Results/Tuning\cm_exp_6.csv,Results/Tuning\report_exp_6.csv,Results/Tuning\learning_curve_exp_6.csv
7,MFCC,32,64,0.2,0.3,64,0.01,68.81443298969072,0.6319709702062644,0.5211995704862709,0.4637149743554596,0.5987211863199869,0.5987211863199869,13.377847909927368,18946,Results/Tuning\cm_exp_7.csv,Results/Tuning\report_exp_7.csv,Results/Tuning\learning_curve_exp_7.csv
8,MFCC,32,64,0.2,0.3,64,0.001,69.3298969072165,0.6742564102564103,0.5260622794907195,0.46953125,0.5824350839661013,0.5824350839661013,12.886448621749878,18946,Results/Tuning\cm_exp_8.csv,Results/Tuning\report_exp_8.csv,Results/Tuning\learning_curve_exp_8.csv
9,MFCC,32,64,0.2,0.3,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6150174730567521,0.6150174730567521,12.964666843414307,18946,Results/Tuning\cm_exp_9.csv,Results/Tuning\report_exp_9.csv,Results/Tuning\learning_curve_exp_9.csv
10,MFCC,32,64,0.2,0.4,16,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6253303537362314,0.6238750469716907,23.620208024978638,18946,Results/Tuning\cm_exp_10.csv,Results/Tuning\report_exp_10.csv,Results/Tuning\learning_curve_exp_10.csv
11,MFCC,32,64,0.2,0.4,16,0.001,70.74742268041237,0.6581293023915975,0.5854502224267526,0.5821335971211076,0.5643108706810287,0.5610890410699172,23.73741888999939,18946,Results/Tuning\cm_exp_11.csv,Results/Tuning\report_exp_11.csv,Results/Tuning\learning_curve_exp_11.csv
12,MFCC,32,64,0.2,0.4,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6087817634508862,0.6087817634508862,24.36046600341797,18946,Results/Tuning\cm_exp_12.csv,Results/Tuning\report_exp_12.csv,Results/Tuning\learning_curve_exp_12.csv
13,MFCC,32,64,0.2,0.4,32,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6235219449610323,0.6235219449610323,16.706467628479004,18946,Results/Tuning\cm_exp_13.csv,Results/Tuning\report_exp_13.csv,Results/Tuning\learning_curve_exp_13.csv
14,MFCC,32,64,0.2,0.4,32,0.001,69.26546391752578,0.6975559718133976,0.5212340849823592,0.4565279791509902,0.5624422941658948,0.5624422941658948,16.777272701263428,18946,Results/Tuning\cm_exp_14.csv,Results/Tuning\report_exp_14.csv,Results/Tuning\learning_curve_exp_14.csv
15,MFCC,32,64,0.2,0.4,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6137839430087322,0.6137839430087322,17.02563762664795,18946,Results/Tuning\cm_exp_15.csv,Results/Tuning\report_exp_15.csv,Results/Tuning\learning_curve_exp_15.csv
16,MFCC,32,64,0.2,0.4,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6221771038347675,0.6220636415866113,12.991271495819092,18946,Results/Tuning\cm_exp_16.csv,Results/Tuning\report_exp_16.csv,Results/Tuning\learning_curve_exp_16.csv
17,MFCC,32,64,0.2,0.4,64,0.001,71.3917525773196,0.6709429484805659,0.6734851971161221,0.6721420048073354,0.5800111223292607,0.5799840887387594,12.9447922706604,18946,Results/Tuning\cm_exp_17.csv,Results/Tuning\report_exp_17.csv,Results/Tuning\learning_curve_exp_17.csv
18,MFCC,32,64,0.2,0.4,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6193143622849577,0.6159064215357586,13.425377368927002,18946,Results/Tuning\cm_exp_18.csv,Results/Tuning\report_exp_18.csv,Results/Tuning\learning_curve_exp_18.csv
19,MFCC,32,64,0.3,0.3,16,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6251287123536676,0.6233094559129337,24.908260583877563,18946,Results/Tuning\cm_exp_19.csv,Results/Tuning\report_exp_19.csv,Results/Tuning\learning_curve_exp_19.csv
